music@play	哦来一首青花瓷	o o o o b-song i-song i-song
cinemas@query	最近有什么好看电影了？	o o o o o o o o o o o
epg@query	现在有什么好的电视剧。	b-datetime_time i-datetime_time o o o o o b-category i-category i-category o
translation@translation	出口在哪里英文怎么说	b-content i-content i-content i-content i-content b-target i-target o o o
train@query	你会查火车票么	o o o o o o o
app@query	搜索游戏	o o b-name i-name
translation@translation	翻译睡觉了	o o b-content i-content i-content
cookbook@query	炸里鸡的做法。	b-dishname i-dishname i-dishname o o o o
poetry@query	朗诵一首李白的诗词。	o o o o b-author i-author o o o o
video@query	我想看搞定岳父大人电影	o o o b-name i-name i-name i-name i-name i-name b-category i-category
cookbook@query	做面包的配方。	o b-dishname i-dishname o o o o
weather@query	今天有雨吗	b-datetime_date i-datetime_date b-questionword b-subfocus o
message@sendcontacts	把张三的电话发给李四	o b-name i-name o o o o o b-receiver i-receiver
music@play	来一首听你听我	o o o b-song i-song i-song i-song
cookbook@query	打了怎么做红烧肉的做法？	o o o o o b-dishname i-dishname i-dishname o o o o
tvchannel@play	南京新闻频道	b-name i-name i-name i-name i-name i-name
cookbook@query	煮水饺。	o b-dishname i-dishname o
health@query	湿疹怎么处理？	b-keyword i-keyword o o o o o
message@sendcontacts	把唐玉明的手机号码发给李康	o b-name i-name i-name o b-category i-category o o o o b-receiver i-receiver
video@query	抬头见喜	b-name i-name i-name i-name
cookbook@query	艺锅肉怎么做？	o o b-ingredient o o o o
cookbook@query	金酱肉丝的做法	b-dishname i-dishname i-dishname i-dishname o o o
poetry@query	来一首白居易的诗了。	o o o b-author i-author i-author o o o o
translation@translation	内裤用英语怎么说	b-content i-content o b-target i-target o o o
message@send	给许浩发一条短信	o b-name i-name o o o o o
poetry@query	茅屋为秋风所破歌杜甫。	b-name i-name i-name i-name i-name i-name i-name i-name b-author i-author o
lottery@number_query	搜索大乐透的中奖号码	o o b-name i-name i-name o o o o o
epg@query	上周六发现之旅有演星跳水立方呢	o o o b-tvchannel i-tvchannel i-tvchannel i-tvchannel o b-name i-name i-name i-name i-name i-name o
riddle@query	讲一个谜语，啊，你，哦。	o o o b-category i-category o o o o o o o
video@query	要看名侦探柯南	o o b-name i-name i-name i-name i-name
translation@translation	翻译光大银行	o o b-content i-content i-content i-content
cookbook@query	红烧肉的做法，a。	b-dishname i-dishname i-dishname o o o o o o
poetry@query	背一下春晓孟浩然。	o o o b-name i-name b-author i-author i-author o
video@query	动作电影	b-tag i-tag b-category i-category
music@play	想听牵手这首歌	o o b-song i-song o o o
news@play	答复，我要听新闻。	o o o o o o o o o
poetry@query	来is，来一首采莲。	o o o o o o o b-name i-name o
app@launch	金山词霸	b-name i-name i-name i-name
epg@query	安安昨天11:07的风华国乐	o o b-datetime_date i-datetime_date b-datetime_time i-datetime_time i-datetime_time i-datetime_time i-datetime_time o b-tvchannel i-tvchannel i-tvchannel i-tvchannel
music@play	随便唱几首歌吧	o o o o o o o
news@play	请问一下军事新闻。	o o o o b-category i-category o o o
map@route	怎么去龙阳路	o o o b-endloc_poi i-endloc_poi i-endloc_poi
cookbook@query	炝拌土豆丝。	b-dishname i-dishname i-dishname i-dishname i-dishname o
music@play	我想听周杰伦的菊花台	o o o b-artist i-artist i-artist o b-song i-song i-song
cinemas@query	有没有新出的电影了。	o o o o o o o o o o
cookbook@query	自演艺，羊肉怎么做？	o o o o b-ingredient i-ingredient o o o o
riddle@query	你会猜谜语吗？	o o o b-category i-category o o
tvchannel@play	海南旅游卫视	o o b-name i-name i-name i-name
cookbook@query	煲鸡汤呢	b-dishname i-dishname i-dishname o
video@query	我想看变形金刚三	o o o b-name i-name i-name i-name i-name
poetry@query	读一首毛泽东的诗。	o o o b-author i-author i-author o o o
flight@query	去伦敦的航班	o b-endloc_city i-endloc_city o o o
flight@query	后天去大连的航班	b-startdate_date i-startdate_date o b-endloc_city i-endloc_city o o o
bus@query	宁波到岳阳的汽车。	b-src i-src o b-dest i-dest o o o o
tvchannel@play	央3	b-name i-name
lottery@number_query	本期七星彩的中奖号码是多少？	o o b-name i-name i-name o o o o o o o o o
tvchannel@play	帮我切换到湖南卫视	o o o o o b-name i-name i-name i-name
cookbook@query	新疆大盘鸡的做法。	b-dishname i-dishname i-dishname i-dishname i-dishname o o o o
epg@query	非诚勿扰什么时候演啊	b-name i-name i-name i-name o o o o o o
cookbook@query	教我做馒头。	o o o b-dishname i-dishname o
video@query	光阴	b-name i-name
cinemas@query	我要看热门电影。	o o o o o o o o
cookbook@query	意大利面。	b-dishname i-dishname i-dishname i-dishname o
cookbook@query	爆炒猪肝怎么做？	b-dishname i-dishname i-dishname i-dishname o o o o
cookbook@query	怎么做番茄汤	o o o b-dishname i-dishname i-dishname
poetry@query	背首唐诗来听啊！	o o b-dynasty o o o o o
match@query	广州恒大比赛谁赢了。	b-name i-name i-name i-name o o o o o o
lottery@number_query	提供一张大乐透	o o o o b-name i-name i-name
map@position	灌阳县位置	b-location_area i-location_area i-location_area o o
music@play	我想听想唱就唱	o o o b-song i-song i-song i-song
train@query	有没有徐州到洛阳的火车票	o o o b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o o
message@sendcontacts	把王世怀的号码发给乔丽君	o b-name i-name i-name o o o o o b-receiver i-receiver i-receiver
music@play	毛阿敏的歌	b-artist i-artist i-artist o o
map@route	从济源市到河南省电信分公司怎么走	o b-startloc_city i-startloc_city i-startloc_city o b-endloc_province i-endloc_province i-endloc_province b-endloc_poi i-endloc_poi i-endloc_poi i-endloc_poi i-endloc_poi o o o
novel@query	玄幻小说 幻神	b-category i-category o o o b-name i-name
cookbook@query	红烧猪脚怎么做啊？	b-dishname i-dishname i-dishname i-dishname o o o o o
translation@translation	星期天早晨我们一起去打篮球英语怎么说	b-content i-content i-content i-content i-content i-content i-content i-content i-content i-content i-content i-content i-content b-target i-target o o o
app@launch	打开我的浏览器	o o o o b-name i-name i-name
video@query	有你才幸福	b-name i-name i-name i-name i-name
cookbook@query	做红酒怎么做啊？	o b-ingredient i-ingredient o o o o o
poetry@query	读首唐诗来听听。	o o b-dynasty o o o o o
cookbook@query	嗯，知道红烧肉怎么做？	o o o o b-dishname i-dishname i-dishname o o o o
cookbook@query	怎样给宝宝做胡萝卜泥。	o o o o o o b-dishname i-dishname i-dishname i-dishname o
cookbook@query	凉面。	b-dishname i-dishname o
epg@look_back	电视回看安徽卫视	o o o o b-tvchannel i-tvchannel i-tvchannel i-tvchannel
website@open	打开聚划算网站	o o b-name i-name i-name o o
train@query	查一下南昌到南京的火车	o o o b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o
website@open	打开网页猫扑	o o o o b-name i-name
poetry@query	搜索兰陵王。	o o b-name i-name i-name o
video@query	查找电影	o o b-category i-category
news@play	这个新闻有意思吗	o o o o o o o o
tvchannel@play	跳换到湖南卫视	o o o b-name i-name i-name i-name
radio@launch	可以帮我收听安庆新闻综合广播	o o o o o o b-name i-name i-name i-name i-name i-name i-name i-name
novel@query	查询饶雪漫的言情小说	o o b-author i-author i-author o b-category i-category o o
video@query	孙俪的电视剧	b-artist i-artist o b-category i-category i-category
train@query	杭州南站到龙游的火车有哪几班	b-startloc_poi i-startloc_poi i-startloc_poi i-startloc_poi o b-endloc_area i-endloc_area o o o o o o o
stock@query	查询一汽轿车股票	o o b-name i-name i-name i-name o o
map@route	去汽车南站怎么走	o b-endloc_poi i-endloc_poi i-endloc_poi i-endloc_poi o o o
radio@launch	收听中国人民广播电台广播	o o b-name i-name i-name i-name i-name i-name i-name i-name i-name i-name
news@play	我想听听今天的新闻。	o o o o b-datetime_date i-datetime_date o o o o
video@query	美国电影少年派的奇幻漂流	b-area i-area b-category i-category b-name i-name i-name i-name i-name i-name i-name i-name
news@play	有什么重要新闻吗？	o o o b-category i-category o o o o
stock@query	搜索泰亚股份股票	o o b-name i-name i-name i-name o o
poetry@query	我给我念一首李白的诗吧？	o o o o o o b-author i-author o o o o
cookbook@query	恩，红烧土豆怎么做我想学？	o o b-dishname i-dishname i-dishname i-dishname o o o o o o o
health@query	宫外孕怎么办？	b-keyword i-keyword i-keyword o o o o
train@query	十堰至武汉火车票	b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o
cookbook@query	糖醋排骨怎么做呢	b-dishname i-dishname i-dishname i-dishname o o o o
cookbook@query	土豆饼怎么做啊？	b-dishname i-dishname i-dishname o o o o o
tvchannel@play	央视9	b-name i-name i-name
epg@query	读书频道上个星期五有播放新闻联播吗	b-tvchannel i-tvchannel i-tvchannel i-tvchannel b-datetime_date i-datetime_date i-datetime_date i-datetime_date i-datetime_date o o o b-name i-name i-name i-name o
music@search	有什么好听的歌	o o o b-category i-category o o
tvchannel@play	湖北电视台	b-name i-name i-name i-name i-name
poetry@query	李白的诗词	b-author i-author o o o
news@play	看今天的新闻。	o b-datetime_date i-datetime_date o o o o
tvchannel@play	高清央视综合频道	b-resolution i-resolution b-name i-name i-name i-name i-name i-name
flight@query	九月二十六号从深圳到宁波的航班	b-startdate_date i-startdate_date i-startdate_date i-startdate_date i-startdate_date i-startdate_date o b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o
poetry@query	唐代诗人李白。	b-dynasty o o o b-author i-author o
message@send	给刘俊发短信	o b-name i-name o o o
tvchannel@play	江苏影视	b-name i-name i-name i-name
message@send	给孟南发短信	o b-name i-name o o o
cookbook@query	面包的配方。	b-dishname i-dishname o o o o
cinemas@query	最近有什么新上映的电影啊？	o o o o o o o o o o o o o
train@query	合肥到深圳的火车票	b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o o
news@play	龙岩新闻	b-location_city i-location_city o o
cookbook@query	红烧猪脚	b-dishname i-dishname i-dishname i-dishname
email@launch	替我查看新邮件	o o o o o o o
map@position	查查科大讯飞在哪里	o o b-location_poi i-location_poi i-location_poi i-location_poi o o o
flight@query	查询今天上海到成都的航班	o o b-startdate_date i-startdate_date b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o
telephone@dial	打电话给王宇婕	o o o o b-name i-name i-name
poetry@query	我背一首生查子。	o o o o b-name i-name i-name o
video@query	查找桑拿	o o b-name i-name
video@query	超级战舰电影	b-name i-name i-name i-name b-category i-category
app@launch	搜狗	b-name i-name
tvchannel@play	中央台五套	b-name i-name i-name i-name i-name
telephone@dial	打电话	o o o
health@query	脊髓损伤。	b-keyword i-keyword i-keyword i-keyword o
novel@query	辛夷坞原来你还在这里小说	b-author i-author i-author b-name i-name i-name i-name i-name i-name i-name o o
train@query	广州到南宁的火车	b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o
poetry@query	阿妈，来一首白居易的诗。	o o o o o o b-author i-author i-author o o o
map@route	导航到石化小学	o o o b-endloc_poi i-endloc_poi i-endloc_poi i-endloc_poi
translation@translation	五用英语怎么说	b-content o b-target i-target o o o
health@query	偏头痛怎么治？	b-keyword i-keyword i-keyword o o o o
cookbook@query	红薯粉的做法，了。	b-ingredient i-ingredient i-ingredient o o o o o o
tvchannel@play	陕西二套	b-name i-name i-name i-name
app@launch	酷狗音乐盒	b-name i-name i-name i-name i-name
novel@query	情债	b-name i-name
cookbook@query	放鱼怎么做？	o b-ingredient o o o o
riddle@query	讲一个谜语和答案。	o o o b-category i-category o o o o
app@download	下载飞信	o o b-name i-name
video@query	惊情四百年	b-name i-name i-name i-name i-name
health@query	包茎怎么办？	b-keyword i-keyword o o o o
translation@translation	你去玩手机了吧用英语怎么说	b-content i-content i-content i-content i-content i-content i-content o b-target i-target o o o
map@route	查一下从上海到安徽东至县的路线	o o o o b-startloc_city i-startloc_city o b-endloc_province i-endloc_province b-endloc_area i-endloc_area i-endloc_area o o o
train@query	帮我网上订车票	o o o o o o o
cookbook@query	披萨的做法	b-dishname i-dishname o o o
health@query	失明了怎么办？	b-keyword i-keyword o o o o o
cookbook@query	请问酸辣土豆丝是怎么炒的	o o b-dishname i-dishname i-dishname i-dishname i-dishname o o o o o
poetry@query	蒋捷的宋词	b-author i-author o b-dynasty o
video@query	满秋	b-name i-name
flight@query	去北京有什么飞机	o b-endloc_city i-endloc_city o o o o o
poetry@query	给我背个李白的诗。	o o o o b-author i-author o o o
website@open	但是我想上腾讯网	o o o o o b-name i-name i-name
tvchannel@play	东方卫视高清频道	b-name i-name i-name i-name b-resolution i-resolution o o
message@send	写短信给颖村	o o o o b-name i-name
stock@query	查询标准股份的股票	o o b-name i-name i-name i-name o o o
translation@translation	你吃过早饭了吗用英文怎么讲	b-content i-content i-content i-content i-content i-content i-content o b-target i-target o o o
match@query	中超比赛。	b-category i-category o o o
map@route	湘潭到常德怎么走	b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o
news@play	播新闻，湖南新闻。	o o o o b-location_province i-location_province o o o
cookbook@query	我要操虾米的做法。	o o o b-ingredient i-ingredient o o o o
train@query	查看滁州到南京的火车票	o o b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o o
video@query	捍卫者	b-name i-name i-name
website@open	打开苹果公司的官方网站	o o b-name i-name i-name i-name i-name i-name i-name i-name i-name
flight@query	后天从深圳到成都的航班	b-startdate_date i-startdate_date o b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o
music@play	来首出师表	o o b-song i-song i-song
cinemas@query	那你告诉我最新的热门电影吧。	o o o o o o o o o o o o o o
health@query	肠易激综合征。	b-keyword i-keyword i-keyword i-keyword i-keyword i-keyword o
music@play	点一首爱情买卖来听听	o o o b-song i-song i-song i-song o o o
radio@launch	帮我调频92.4中国国际广播电台行不行？	o o o o b-code i-code i-code i-code b-name i-name i-name i-name i-name i-name i-name i-name o o o o
stock@query	中水渔业的股票	b-name i-name i-name i-name o o o
message@send	给张金波发短消息今天中午一起吃饭	o b-name i-name i-name o o o o b-content i-content i-content i-content i-content i-content i-content i-content
cookbook@query	煮咖喱饭。	o b-dishname i-dishname i-dishname o
cookbook@query	桂林米粉，哦。	b-dishname i-dishname i-dishname i-dishname o o o
cookbook@query	烤鸡翅怎么做呀？	b-dishname i-dishname i-dishname o o o o o
health@query	阑尾炎	b-keyword i-keyword i-keyword
video@query	爱在何方第三期	b-name i-name i-name i-name b-episode i-episode i-episode
poetry@query	来一首李白的诗。	o o o b-author i-author o o o
epg@query	湖南卫视放什么节目？	b-tvchannel i-tvchannel i-tvchannel i-tvchannel o o o o o o
video@query	美国恐怖电影	b-area i-area b-tag i-tag b-category i-category
riddle@query	再猜一个谜语。	o o o o b-category i-category o
cinemas@query	离我最近的电影院。	o o o o o o o o o
message@send	给王帅发个短信说他让他起来尿尿	o b-name i-name o o o o o o b-content i-content i-content i-content i-content i-content
match@query	中超比分。	b-category i-category b-type i-type o
message@send	发短信给张三说“画皮2在哪个台播出”	o o o o b-name i-name o o b-content i-content i-content i-content i-content i-content i-content i-content i-content o
cookbook@query	能山药怎么做？	o b-ingredient i-ingredient o o o o
health@query	如何治疗脚臭。	o o o o b-keyword i-keyword o
cookbook@query	帮我搜索一下红烧排骨。	o o o o o o b-dishname i-dishname i-dishname i-dishname o
news@play	该我读新闻。	o o o o o o
cookbook@query	葱爆羊肉的做法。	b-dishname i-dishname i-dishname i-dishname o o o o
cookbook@query	臭豆腐汤怎么烧？	b-dishname i-dishname i-dishname i-dishname o o o o
cookbook@query	要怎么煮饭。	o o o o b-dishname o
tvchannel@play	高清深圳台	b-resolution i-resolution b-name i-name i-name
train@query	广州到孝感的火车	b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o
video@query	神兵小将	b-name i-name i-name i-name
flight@query	查询广州到海南的航班	o o b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o
tvchannel@play	搜索第10频道	o o o b-code i-code o o
news@play	总计今天的新闻。	o o b-datetime_date i-datetime_date o o o o
riddle@query	来个字谜我猜一下。	o o b-category i-category o o o o o
lottery@query	我要买彩票。	o o o o o o
epg@query	央视精品节目	b-tvchannel i-tvchannel i-tvchannel i-tvchannel o o
cookbook@query	冯沙排骨怎么做？	o o b-ingredient i-ingredient o o o o
map@route	我要去姜堰	o o o b-endloc_area i-endloc_area
video@query	歧路兄弟	b-name i-name i-name i-name
app@launch	把uc打开啊	o b-name i-name o o o
tvchannel@play	福建电视台	b-name i-name i-name i-name i-name
radio@launch	请帮我调频105山东人民广播电台生活频道	o o o o o b-code i-code i-code b-name i-name i-name i-name i-name i-name i-name i-name i-name i-name i-name i-name
contacts@query	哦钢结构的电话是多少	b-name i-name i-name i-name o o o o o o
message@send	给梁辉坚发短信	o b-name i-name i-name o o o
news@play	占田你给我放一下最近的新闻。	o o o o o o o o b-datetime_date i-datetime_date o o o o
video@query	苍狼	b-name i-name
stock@query	查一查同方股份的股票	o o o b-name i-name i-name i-name o o o
map@position	帮我查一下合肥市三孝口在哪里	o o o o o b-location_city i-location_city o b-location_poi i-location_poi i-location_poi o o o
health@query	高血压怎么办吧	b-keyword i-keyword i-keyword o o o o
map@route	从新加坡花园怎么去宁溪路	o b-startloc_poi i-startloc_poi i-startloc_poi i-startloc_poi i-startloc_poi o o o b-endloc_poi i-endloc_poi i-endloc_poi
video@query	我的爱金枝玉叶	b-name i-name i-name i-name i-name i-name i-name
stock@query	查询一下讯飞科大今天的股票	o o o o b-name i-name i-name i-name o o o o o
telephone@dial	打电话给my god	o o o o b-name i-name i-name i-name i-name i-name
telephone@dial	给金华打电话	o b-name i-name o o o
poetry@query	火气冲天，下一句是什么？	b-keyword i-keyword i-keyword i-keyword o b-queryfield i-queryfield i-queryfield o o o o
cookbook@query	怎么做饭好吃？	o o o b-dishname o o o
cookbook@query	做蛋挞怎么做	o b-dishname i-dishname o o o
stock@query	查下银星能源股票	o o b-name i-name i-name i-name o o
message@send	给靖哥哥发短信说我不回来吃饭了	o b-name i-name i-name o o o o b-content i-content i-content i-content i-content i-content i-content
video@query	请帮我播放樱桃	o o o o o b-name i-name
message@send	发短信方钰玲	o o o b-name i-name i-name
flight@query	九月二十号广州飞北京的航班	b-startdate_date i-startdate_date i-startdate_date i-startdate_date i-startdate_date b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o
news@play	是否还有其他关于钓鱼岛的新闻	o o o o o o o o b-keyword i-keyword i-keyword o o o
poetry@query	搜索岳飞的诗满江红。	o o b-author i-author o o b-name i-name i-name o
poetry@query	不是花中偏爱菊的下一句是什么？	b-keyword i-keyword i-keyword i-keyword i-keyword i-keyword i-keyword o b-queryfield i-queryfield i-queryfield o o o o
cookbook@query	求米线怎么做？	o b-ingredient i-ingredient o o o o
tvchannel@play	江苏影视台	b-name i-name i-name i-name i-name
message@sendcontacts	把许琦彪的号码发给徐鹏	o b-name i-name i-name o o o o o b-receiver i-receiver
flight@query	明天珠海到青岛的航班	b-startdate_date i-startdate_date b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o
video@query	金枝欲孽	b-name i-name i-name i-name
health@query	。咳嗽	o b-keyword i-keyword
poetry@default	朗诵诗词。	o o o o o
train@query	查一下杭州到宁波的火车票	o o o b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o o
message@sendcontacts	把李文鼎的号码发给谢服全	o b-name i-name i-name o o o o o b-receiver i-receiver i-receiver
epg@query	世界地理的节目单	b-tvchannel i-tvchannel i-tvchannel i-tvchannel o o o o
message@send	给刘志发短信	o b-name i-name o o o
cookbook@query	黑米红豆粥的做法。	b-dishname i-dishname i-dishname i-dishname i-dishname o o o o
telephone@dial	打电话给摩托老师	o o o o b-name i-name i-name i-name
train@query	从合肥到北京的列车	o b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o
novel@query	我要看唐家三少写的玄幻小说绝世唐门	o o o b-author i-author i-author i-author o o b-category i-category o o b-name i-name i-name i-name
video@query	我是特种兵二	b-name i-name i-name i-name i-name i-name
video@query	能不能看当前的中超联赛	o o o o o o o b-name i-name i-name i-name
flight@query	机票	o o
translation@translation	床英文怎么说	b-content b-target i-target o o o
health@query	小孩子有肺炎的治疗方法有哪些？	o o o o b-keyword i-keyword o o o o o o o o o
video@query	第二梦	b-name i-name i-name
epg@query	chc高清电影昨天晚上的节目	b-tvchannel i-tvchannel i-tvchannel i-tvchannel i-tvchannel i-tvchannel i-tvchannel b-datetime_date i-datetime_date b-datetime_time i-datetime_time o o o
cookbook@query	怎么做？酸菜鱼？	o o o o b-dishname i-dishname i-dishname o
cookbook@query	凉拌海带	b-dishname i-dishname i-dishname i-dishname
music@play	我想听11年，这首歌哦。	o o o b-song i-song i-song o o o o o o
music@play	来首歌吗？	o o o o o
stock@riserate_query	代码000800的股票涨幅是多少	o o b-code i-code i-code i-code i-code i-code o o o o o o o o
cookbook@query	酱茄条做法。	b-dishname i-dishname i-dishname o o o
telephone@dial	打电话温正军	o o o b-name i-name i-name
epg@query	现在浙江卫视在放什么节目	b-datetime_time i-datetime_time b-tvchannel i-tvchannel i-tvchannel i-tvchannel o o o o o o
telephone@dial	打电话给陈正成	o o o o b-name i-name i-name
cookbook@query	甜酒怎么做？	b-ingredient i-ingredient o o o o
bus@query	请查询天津市到哈尔滨的车。	o o o b-src i-src i-src o b-dest i-dest i-dest o o o
flight@query	去重庆的机票多少钱。	o b-endloc_city i-endloc_city o o o o o o o
cookbook@query	山寨鱼怎么做？	b-dishname i-dishname i-dishname o o o o
epg@query	浙江卫视今晚有中国好声音吗？	b-tvchannel i-tvchannel i-tvchannel i-tvchannel b-datetime_time i-datetime_time o b-name i-name i-name i-name i-name o o
cookbook@query	糯米肉怎么做？	b-dishname i-dishname i-dishname o o o o
cookbook@query	酸菜鱼怎么煮啊？	b-dishname i-dishname i-dishname o o o o o
lottery@number_query	大乐透中奖号码为	b-name i-name i-name o o o o o
cookbook@query	家常凉菜怎么做？	b-keyword i-keyword i-keyword i-keyword o o o o
map@route	从这里到市中心怎么走	o o o o b-endloc_poi i-endloc_poi i-endloc_poi o o o
poetry@query	背首绝句的。	o o b-name i-name o o
tvchannel@play	安徽综艺	b-name i-name i-name i-name
cookbook@query	拔丝芋头怎么做	b-dishname i-dishname i-dishname i-dishname o o o
cookbook@query	土豆粉怎么做？	b-ingredient i-ingredient i-ingredient o o o o
video@query	查询神鬼认证	o o b-name i-name i-name i-name
video@query	帮我打开步步惊心	o o o o b-name i-name i-name i-name
tvchannel@play	山东高清	b-name i-name i-name i-name
video@query	你们什么搞笑剧	o o o o b-category i-category i-category
website@open	打开谷歌wap	o o b-name i-name o o o
video@query	张艺谋的甄嬛传	b-artist i-artist i-artist o b-name i-name i-name
stock@query	所以查学西宁特钢的股票	o o o o b-name i-name i-name i-name o o o
cookbook@query	炖鸡	b-dishname i-dishname
news@play	搜索娱乐新闻。	o o b-category i-category o o o
cookbook@query	制作酸梅汤怎么做？	o o b-dishname i-dishname i-dishname o o o o
flight@query	查询后天广州到上海的航班	o o b-startdate_date i-startdate_date b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o
tvchannel@play	我想看高尔夫网球频道	o o o b-name i-name i-name i-name i-name i-name i-name
epg@query	湖南卫视现在在播什么	b-tvchannel i-tvchannel i-tvchannel i-tvchannel b-datetime_time i-datetime_time o o o o
riddle@query	来个字谜吗？	o o b-category i-category o o
video@query	大头儿子小头爸爸	b-name i-name i-name i-name i-name i-name i-name i-name
music@search	找一首游鸿明的音乐	o o o b-artist i-artist i-artist o o o
translation@translation	我喜欢亚楠用英语怎么说	b-content i-content i-content i-content i-content o b-target i-target o o o
cookbook@query	牛骨汤	b-dishname i-dishname i-dishname
train@query	去烟台的火车	o b-endloc_city i-endloc_city o o o
cookbook@query	苦瓜要怎么做比较好吃	b-ingredient i-ingredient o o o o o o o o
map@route	我要到徐家汇怎么走	o o o b-endloc_poi i-endloc_poi i-endloc_poi o o o
epg@query	中央六台的节目单	b-tvchannel i-tvchannel i-tvchannel i-tvchannel o o o o
cookbook@query	酸菜鱼，怎么烧？	b-dishname i-dishname i-dishname o o o o o
train@query	去广州的火车票	o b-endloc_city i-endloc_city o o o o
train@query	明天到郑州的火车	b-startdate_date i-startdate_date o b-endloc_city i-endloc_city o o o
music@play	我要听流行歌曲	o o o b-category i-category o o
epg@query	今天晚上有没有中国好声音呢？	b-datetime_date i-datetime_date b-datetime_time i-datetime_time o o o b-name i-name i-name i-name i-name o o
flight@query	明天长沙到上海的航班	b-startdate_date i-startdate_date b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o
tvchannel@play	北京财经	b-name i-name i-name i-name
cookbook@query	干锅香辣虾	b-dishname i-dishname i-dishname i-dishname i-dishname
message@send	发信息给陈明哲	o o o o b-name i-name i-name
translation@translation	翻译牛	o o b-content
message@send	发短信给王曼希望你幸福	o o o o b-name i-name o o o o o
epg@query	给我查下明天凌晨在放妈妈来了	o o o o b-datetime_date i-datetime_date b-datetime_time i-datetime_time o o b-name i-name i-name i-name
map@route	到鼓楼怎么走	o b-endloc_area i-endloc_area o o o
cookbook@query	死肉怎么烧好吃？	o b-ingredient o o o o o o
train@query	帮我查一下洛阳到赣州的火车	o o o o o b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o
map@route	从这里去科大讯飞如何去	o o o o b-endloc_poi i-endloc_poi i-endloc_poi i-endloc_poi o o o
match@query	中超比赛，结果。	b-category i-category o o o b-type i-type o
cookbook@query	不懂饭的做法。	o o b-dishname o o o o
message@send	给青发短信	o b-name o o o
cinemas@query	查一查上影电影院即将上映的影片	o o o o o o o o o o o o o o o
cookbook@query	芒果西米露怎么做啊	b-dishname i-dishname i-dishname i-dishname i-dishname o o o o
stock@query	中国建设银行的行情	o o b-name i-name i-name i-name o o o
cookbook@query	说话，给我搜一下做苹果麦片粥是怎么做啊？	o o o o o o o o o b-dishname i-dishname i-dishname i-dishname i-dishname o o o o o o
map@route	从我这里去芙蓉区政府怎么去	o o o o o b-endloc_poi i-endloc_poi i-endloc_poi i-endloc_poi i-endloc_poi o o o
poetry@query	仓央嘉措的诗词。	b-author i-author i-author i-author o o o o
video@query	江山	b-name i-name
epg@query	哪个台在放甄嬛	o o o o o b-name i-name
radio@launch	麻烦您可不可以帮我调频98.5扬州人民广播电台新闻台	o o o o o o o o o o o b-code i-code i-code i-code b-name i-name i-name i-name i-name i-name i-name i-name i-name i-name i-name
website@open	新蛋网	b-name i-name i-name
flight@query	明天去深圳的飞机	b-startdate_date i-startdate_date o b-endloc_city i-endloc_city o o o
flight@query	帮我查一下广州到长沙的航班	o o o o o b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o
cookbook@query	你真笨，是四喜丸子怎么做了。	o o o o o b-dishname i-dishname i-dishname i-dishname o o o o o
poetry@query	说个李白的诗来听听。	o o b-author i-author o o o o o o
epg@query	现在哪个台在播放剧情电视剧	b-datetime_time i-datetime_time o o o o o o b-category i-category i-category i-category i-category
train@query	从合肥去西安的火车	o b-startloc_city i-startloc_city o b-endloc_city i-endloc_city o o o
email@reply	我想答复这个邮件	o o o o o o o o
map@route	帮我找到去安徽黄山的路	o o o o o b-endloc_province i-endloc_province b-endloc_poi i-endloc_poi o o
app@launch	启动qq浏览器	o o b-name i-name i-name i-name i-name
translation@translation	买东西翻译成英语	b-content i-content i-content o o o b-target i-target
news@play	今天的新闻有什么？	b-datetime_date i-datetime_date o o o o o o o
news@play	最新的新闻播报一下	b-keyword i-keyword o o o o o o o
video@query	五号特工组	b-name i-name i-name i-name i-name
riddle@query	不辣，猜谜语。	o o o o b-category i-category o
music@play	我想听忐忑这首歌打	o o o b-song i-song o o o o
translation@translation	睡觉用英文怎么说	b-content i-content o b-target i-target o o o
train@query	查一下济南到潍坊昌乐的火车	o o o b-startloc_city i-startloc_city o b-endloc_city i-endloc_city b-endloc_area i-endloc_area o o o
telephone@dial	呼叫王希	o o b-name i-name
